Date : 2021-01-26 20:57:40
Directory : c:\Thinkful\Projects\gift-closet\gift-closet-client
Total : 57 files,  20524 codes, 7 comments, 430 blanks, all 20961 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| src\services                                                                                         |          4 |        239 |          0 |         16 |        255 |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                             | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Thinkful\Projects\gift-closet\gift-closet-client\README.md                                        | Markdown   |         38 |          0 |         33 |         71 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\package-lock.json                                | JSON       |     17,109 |          0 |          1 |     17,110 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\package.json                                     | JSON       |         42 |          0 |          1 |         43 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\public\index.html                                | HTML       |         24 |          0 |          4 |         28 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\public\manifest.json                             | JSON       |         25 |          0 |          1 |         26 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\App.test.js                                  | JavaScript |          0 |          0 |          1 |          1 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\components\AddGiftForm\AddGiftForm.js        | JavaScript |        119 |          0 |          8 |        127 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\components\AddTagForm\AddTagForm.js          | JavaScript |         63 |          0 |          6 |         69 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\components\App\App.css                       | CSS        |          0 |          0 |          1 |          1 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\components\App\App.js                        | JavaScript |         90 |          0 |          6 |         96 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\components\EditGiftForm\EditGiftForm.js      | JavaScript |        142 |          0 |          8 |        150 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\components\EditTagForm\EditTagForm.js        | JavaScript |         70 |          0 |          8 |         78 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\components\Footer\Footer.css                 | CSS        |         23 |          0 |          3 |         26 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\components\Footer\Footer.js                  | JavaScript |         19 |          0 |          3 |         22 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\components\GiftOptionsBar\GiftOptionsBar.css | CSS        |         43 |          0 |          5 |         48 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\components\GiftOptionsBar\GiftOptionsBar.js  | JavaScript |         15 |          0 |          2 |         17 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\components\Header\Header.css                 | CSS        |         97 |          0 |         16 |        113 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\components\Header\Header.js                  | JavaScript |         62 |          0 |          7 |         69 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\components\LoginForm\LoginForm.js            | JavaScript |         55 |          1 |          6 |         62 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\components\RegisterForm\RegisterForm.js      | JavaScript |        116 |          0 |          7 |        123 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\components\TagOptionsBar\TagOptionsBar.css   | CSS        |         65 |          0 |         12 |         77 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\components\TagOptionsBar\TagOptionsBar.js    | JavaScript |         50 |          0 |          5 |         55 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\components\utilities\PrivateRoute.js         | JavaScript |         23 |          0 |          3 |         26 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\components\utilities\PublicRoute.js          | JavaScript |         18 |          0 |          3 |         21 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\config.js                                    | JavaScript |          6 |          0 |          2 |          8 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\contexts\AppContext.js                       | JavaScript |          9 |          0 |          4 |         13 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\index.css                                    | CSS        |         14 |          0 |          2 |         16 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\index.js                                     | JavaScript |         11 |          0 |          2 |         13 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\reportWebVitals.js                           | JavaScript |         12 |          0 |          2 |         14 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\routes\AddGiftPage\AddGiftPage.css           | CSS        |        153 |          0 |         23 |        176 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\routes\AddGiftPage\AddGiftPage.js            | JavaScript |         30 |          0 |          4 |         34 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\routes\AddTagPage\AddTagPage.css             | CSS        |        123 |          0 |         16 |        139 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\routes\AddTagPage\AddTagPage.js              | JavaScript |         20 |          0 |          2 |         22 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\routes\EditGiftPage\EditGiftPage.css         | CSS        |        130 |          0 |         20 |        150 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\routes\EditGiftPage\EditGiftPage.js          | JavaScript |         26 |          0 |          3 |         29 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\routes\EditTagPage\EditTagPage.css           | CSS        |        104 |          0 |         14 |        118 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\routes\EditTagPage\EditTagPage.js            | JavaScript |         24 |          0 |          3 |         27 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\routes\ErrorBoundary\ErrorBoundary.js        | JavaScript |         21 |          0 |          4 |         25 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\routes\GiftDetailPage\GiftDetailPage.css     | CSS        |        184 |          0 |         29 |        213 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\routes\GiftDetailPage\GiftDetailPage.js      | JavaScript |         97 |          0 |          5 |        102 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\routes\GiftListPage\GiftListPage.css         | CSS        |        192 |          0 |         28 |        220 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\routes\GiftListPage\GiftListPage.js          | JavaScript |        133 |          2 |         16 |        151 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\routes\Homepage\Homepage.css                 | CSS        |        138 |          0 |         20 |        158 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\routes\Homepage\Homepage.js                  | JavaScript |         57 |          0 |          2 |         59 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\routes\LoginPage\LoginPage.css               | CSS        |        116 |          0 |         14 |        130 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\routes\LoginPage\LoginPage.js                | JavaScript |         29 |          0 |          3 |         32 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\routes\NotFoundPage\NotFoundPage.js          | JavaScript |          4 |          0 |          2 |          6 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\routes\RegisterPage\RegisterPage.css         | CSS        |         97 |          0 |         12 |        109 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\routes\RegisterPage\RegisterPage.js          | JavaScript |         16 |          0 |          2 |         18 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\routes\TagListPage\TagListPage.css           | CSS        |        145 |          0 |         22 |        167 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\routes\TagListPage\TagListPage.js            | JavaScript |         72 |          0 |          6 |         78 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\services\auth-api-service.js                 | JavaScript |         34 |          0 |          3 |         37 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\services\gifts-api-service.js                | JavaScript |         96 |          0 |          3 |         99 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\services\tags-api-service.js                 | JavaScript |         93 |          0 |          6 |         99 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\services\token-service.js                    | JavaScript |         16 |          0 |          4 |         20 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\src\setupTests.js                                | JavaScript |          1 |          4 |          1 |          6 |
| c:\Thinkful\Projects\gift-closet\gift-closet-client\vercel.json                                      | JSON       |         13 |          0 |          1 |         14 |
| Total                                                                                                |            |     20,524 |          7 |        430 |     20,961 |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
